month,fpi_equity_cr,mf_equity_cr
2007-01,492.0,
2007-02,7239.0,
2007-03,-1081.0,
2007-04,6678.0,
2007-05,3960.0,
2007-06,1640.0,
2007-07,23873.0,
2007-08,-7770.0,
2007-09,16131.0,
2007-10,20591.0,
2007-11,-5850.0,
2007-12,5577.0,
2008-01,-13035.0,
2008-02,1733.0,
2008-03,-131.0,
2008-04,1076.0,
2008-05,-5013.0,
2008-06,-10098.0,
2008-07,-1833.0,
2008-08,-1210.0,
2008-09,-8280.0,
2008-10,-15346.0,
2008-11,-2598.0,
2008-12,1748.0,
2009-01,-4245.0,
2009-02,-2437.0,
2009-03,530.0,
2009-04,6510.0,
2009-05,20116.0,
2009-06,3831.0,
2009-07,11066.0,
2009-08,4906.0,
2009-09,18346.0,
2009-10,9076.0,
2009-11,5498.0,
2009-12,10234.0,
2010-01,-499.0,
2010-02,1215.0,
2010-03,19927.0,
2010-04,9362.0,
2010-05,-9438.0,
2010-06,10507.0,
2010-07,16618.0,
2010-08,11685.0,
2010-09,24980.0,
2010-10,28561.0,
2010-11,18294.0,
2010-12,2048.0,
2011-01,-4813.0,
2011-02,-4585.0,
2011-03,6896.0,
2011-04,7211.0,
2011-05,-6613.0,
2011-06,4575.0,
2011-07,8030.0,
2011-08,-10836.0,
2011-09,-159.0,
2011-10,1678.0,
2011-11,-4198.0,
2011-12,100.0,
2012-01,10355.0,
2012-02,25212.0,
2012-03,8382.0,
2012-04,-1109.0,
2012-05,-348.0,
2012-06,-503.0,
2012-07,10276.0,
2012-08,10804.0,
2012-09,19262.0,
2012-10,11365.0,
2012-11,9579.0,
2012-12,25086.0,
2013-01,22059.0,
2013-02,24440.0,
2013-03,9125.0,
2013-04,5413.0,
2013-05,22168.0,
2013-06,-11027.0,
2013-07,-6087.0,
2013-08,-5923.0,
2013-09,13057.0,
2013-10,15706.0,
2013-11,8116.0,
2013-12,16087.0,
2014-01,714.0,
2014-02,1405.0,
2014-03,20078.0,
2014-04,9600.0,
2014-05,14007.0,
2014-06,13990.0,
2014-07,13110.0,5063.9
2014-08,5431.0,6957.4
2014-09,5104.0,4171.6
2014-10,-1172.0,5939.6
2014-11,13756.0,1677.0
2014-12,1036.0,7037.0
2015-01,12919.0,879.2
2015-02,11475.0,4309.1
2015-03,12076.0,3940.4
2015-04,11721.0,9244.1
2015-05,-5769.0,4176.7
2015-06,-3344.0,10325.4
2015-07,5321.0,5442.0
2015-08,-16878.0,10533.0
2015-09,-6477.0,9320.1
2015-10,6649.0,2935.2
2015-11,-7074.0,6547.7
2015-12,-2818.0,4544.2
2016-01,-11127.0,7327.7
2016-02,-5522.0,5945.6
2016-03,21142.0,-10198.2
2016-04,8415.0,-575.6
2016-05,2542.0,7148.5
2016-06,3714.0,-86.1
2016-07,12611.0,-33.7
2016-08,9071.0,2717.0
2016-09,10444.0,3841.1
2016-10,-4306.0,9128.5
2016-11,-18244.0,13775.1
2016-12,-8177.0,9178.8
2017-01,-1177.0,5233.6
