month,gst_collection_cr,source
2017-08,95633.0,wikipedia
2017-09,94442.0,wikipedia
2017-10,93333.0,wikipedia
2017-11,83780.0,wikipedia
2017-12,84314.0,wikipedia
2018-01,89825.0,wikipedia
2018-02,85962.0,wikipedia
2018-03,92167.0,wikipedia
2018-04,103459.0,wikipedia
2018-05,94016.0,wikipedia
2018-06,95610.0,wikipedia
2018-07,96483.0,wikipedia
2018-08,93960.0,wikipedia
2018-09,91917.0,wikipedia
2018-10,100710.0,wikipedia
2018-11,97637.0,wikipedia
2018-12,94726.0,wikipedia
2019-01,102503.0,wikipedia
2019-02,97247.0,wikipedia
2019-03,106577.0,wikipedia
2019-04,113865.0,wikipedia
2019-05,100289.0,wikipedia
2019-06,99938.0,wikipedia
2019-07,102083.0,wikipedia
2019-08,98203.0,wikipedia
2019-09,95480.0,wikipedia
2019-10,95380.0,wikipedia
2019-11,103491.0,wikipedia
2019-12,103184.0,wikipedia
2020-01,110818.0,wikipedia
2020-02,105366.0,wikipedia
2020-03,97597.0,wikipedia
2020-04,32294.0,wikipedia
2020-05,62009.0,wikipedia
2020-06,90917.0,wikipedia
2020-07,87422.0,wikipedia
2020-08,86449.0,wikipedia
2020-09,117010.0,wikipedia
2020-10,105155.0,wikipedia
2020-11,104963.0,wikipedia
2020-12,115174.0,wikipedia
2021-01,119875.0,wikipedia
2021-02,113143.0,wikipedia
2021-03,123902.0,wikipedia
2021-04,139708.0,wikipedia
2021-05,97821.0,wikipedia
2021-06,92800.0,wikipedia
2021-07,116393.0,wikipedia
2021-08,112020.0,wikipedia
2021-09,147686.0,wikipedia
2021-10,130127.0,wikipedia
2021-11,131526.0,wikipedia
2021-12,129780.0,wikipedia
2022-01,140986.0,wikipedia
2022-02,133026.0,wikipedia
2022-03,142095.0,wikipedia
2022-04,167540.0,wikipedia
2022-05,140885.0,wikipedia
2022-06,144616.0,wikipedia
2022-07,148995.0,wikipedia
2022-08,143612.0,wikipedia
2022-09,162712.0,wikipedia
2022-10,151718.0,wikipedia
2022-11,145867.0,wikipedia
2022-12,149507.0,wikipedia
2023-01,157554.0,wikipedia
2023-02,149577.0,wikipedia
2023-03,160122.0,wikipedia
2023-04,187035.0,wikipedia
2023-05,157090.0,wikipedia
2023-06,161497.0,wikipedia
2023-07,165105.0,wikipedia
2023-08,159069.0,wikipedia
2023-09,147686.0,wikipedia
2023-10,172003.0,wikipedia
2023-11,167929.0,wikipedia
2023-12,164882.0,wikipedia
2024-01,172129.0,wikipedia
2024-02,168337.0,wikipedia
2024-03,178484.0,wikipedia
2024-04,210267.0,wikipedia
2024-05,172739.0,wikipedia
2024-06,173813.0,wikipedia
2024-07,182075.0,wikipedia
2024-08,174962.0,wikipedia
2024-09,173240.0,wikipedia
2024-10,187346.0,wikipedia
2024-11,176200.0,wikipedia
2024-12,174550.0,wikipedia
2025-01,193384.0,wikipedia
2025-02,183646.0,press_published
2025-03,196000.0,nexarc_approx
2025-04,236000.0,nexarc_approx
2025-05,200999.99999999997,nexarc_approx
2025-06,185000.0,nexarc_approx
2025-07,195000.0,nexarc_approx
2025-08,186000.0,nexarc_approx
2025-09,189017.0,press_published
2025-10,196000.0,nexarc_approx
2025-11,170000.0,nexarc_approx
2025-12,175000.0,nexarc_approx
2026-01,193000.0,nexarc_approx
2026-02,184000.0,nexarc_approx
2026-03,200000.0,nexarc_approx
2026-04,243000.00000000003,nexarc_approx
2026-05,194000.0,nexarc_approx
2026-06,195000.0,nexarc_approx
