month,source,retrieved_at,sip_contribution_cr,sip_aum_lakh_cr,sip_aum_pct_of_total_aum,contributing_accounts_cr,new_sips_registered_lakh,sips_discontinued_lakh,stoppage_ratio_pct,total_industry_aum_lakh_cr,total_folios_cr,net_equity_inflow_cr,net_debt_inflow_cr,net_hybrid_inflow_cr,notes
2024-06,amfi_pdf,2026-07-03T12:54:20.760436+00:00,21262.0,12.43,20.0,8.99,,,,61.16,,,-43637.0,,new_sips_registered not stated in this month's note; sips_discontinued/stoppage_ratio not published in AMFI Monthly Note; not derivable from this source
2024-07,amfi_pdf,2026-07-03T12:54:23.532725+00:00,23332.0,13.09,20.2,9.34,,,,64.97,,,-107000.0,17991.0,new_sips_registered not stated in this month's note; sips_discontinued/stoppage_ratio not published in AMFI Monthly Note; not derivable from this source
2024-08,amfi_pdf,2026-07-03T12:54:26.221907+00:00,23547.0,13.39,20.1,9.61,,,,66.7,,,,10005.0,new_sips_registered not stated in this month's note; sips_discontinued/stoppage_ratio not published in AMFI Monthly Note; not derivable from this source
2024-09,amfi_pdf,2026-07-03T12:54:28.919804+00:00,24509.0,13.82,20.6,9.87,,,,67.09,,,-113834.0,4901.0,new_sips_registered not stated in this month's note; sips_discontinued/stoppage_ratio not published in AMFI Monthly Note; not derivable from this source
2024-10,amfi_pdf,2026-07-03T12:54:31.654263+00:00,25323.0,13.3,19.8,10.12,,,,67.26,,,,311.0,new_sips_registered not stated in this month's note; sips_discontinued/stoppage_ratio not published in AMFI Monthly Note; not derivable from this source
2024-11,amfi_pdf,2026-07-03T12:54:34.429725+00:00,25320.0,13.54,19.9,10.22,,,,68.08,,,12916.0,,new_sips_registered not stated in this month's note; sips_discontinued/stoppage_ratio not published in AMFI Monthly Note; not derivable from this source
2024-12,amfi_pdf,2026-07-03T12:54:37.270128+00:00,26459.0,13.63,20.4,,,,,66.93,22.5,,,,new_sips_registered not stated in this month's note; sips_discontinued/stoppage_ratio not published in AMFI Monthly Note; not derivable from this source
2025-01,amfi_pdf,2026-07-03T12:54:40.029819+00:00,26400.0,13.2,19.6,,,,,67.25,22.92,39688.0,129000.0,,new_sips_registered not stated in this month's note; sips_discontinued/stoppage_ratio not published in AMFI Monthly Note; not derivable from this source
2025-02,amfi_pdf,2026-07-03T12:54:42.790613+00:00,25999.0,12.38,19.2,8.26,,,,64.53,23.23,4977.0,-6526.0,6804.0,new_sips_registered not stated in this month's note; sips_discontinued/stoppage_ratio not published in AMFI Monthly Note; not derivable from this source
2025-03,amfi_pdf,2026-07-03T12:54:45.695967+00:00,25926.0,13.35,20.3,8.11,,,,65.74,23.45,,-133034.0,-947.0,new_sips_registered not stated in this month's note; sips_discontinued/stoppage_ratio not published in AMFI Monthly Note; not derivable from this source
2025-04,amfi_pdf,2026-07-03T12:54:48.554880+00:00,26632.0,13.9,19.9,8.38,,,,69.99,23.63,20229.0,277000.0,19056.66,new_sips_registered not stated in this month's note; sips_discontinued/stoppage_ratio not published in AMFI Monthly Note; not derivable from this source
2025-05,amfi_pdf,2026-07-03T12:54:51.401930+00:00,26688.0,14.61,20.24,8.56,,,,70.0,23.83,,11983.0,20765.05,new_sips_registered not stated in this month's note; sips_discontinued/stoppage_ratio not published in AMFI Monthly Note; not derivable from this source
2025-06,amfi_pdf,2026-07-03T12:54:54.342236+00:00,27269.0,15.31,20.6,8.64,,,,74.41,24.13,,,23223.0,new_sips_registered not stated in this month's note; sips_discontinued/stoppage_ratio not published in AMFI Monthly Note; not derivable from this source
2025-07,amfi_pdf,2026-07-03T12:54:57.302818+00:00,28464.0,15.19,20.2,9.11,,,,75.36,,42702.0,,2365.0,new_sips_registered not stated in this month's note; sips_discontinued/stoppage_ratio not published in AMFI Monthly Note; not derivable from this source
2025-08,amfi_pdf,2026-07-03T12:55:00.219929+00:00,28265.0,15.18,20.2,8.99,,,,75.19,,,,15294.0,new_sips_registered not stated in this month's note; sips_discontinued/stoppage_ratio not published in AMFI Monthly Note; not derivable from this source
2025-09,amfi_pdf,2026-07-03T12:55:03.215207+00:00,29361.0,15.52,20.5,9.25,,,,75.61,25.19,,,9397.0,new_sips_registered not stated in this month's note; sips_discontinued/stoppage_ratio not published in AMFI Monthly Note; not derivable from this source
2025-10,amfi_pdf,2026-07-03T12:55:06.256347+00:00,29529.0,16.25,20.3,9.45,,,,79.88,25.6,,89375.0,6920.0,new_sips_registered not stated in this month's note; sips_discontinued/stoppage_ratio not published in AMFI Monthly Note; not derivable from this source
2025-11,amfi_pdf,2026-07-03T12:55:09.262594+00:00,29445.0,16.53,20.5,9.43,,,,80.0,25.86,29911.05,-25693.0,5315.0,new_sips_registered not stated in this month's note; sips_discontinued/stoppage_ratio not published in AMFI Monthly Note; not derivable from this source
2025-12,amfi_pdf,2026-07-03T12:55:12.357724+00:00,31002.0,16.63,20.7,9.79,,,,80.23,26.12,,,7426.0,new_sips_registered not stated in this month's note; sips_discontinued/stoppage_ratio not published in AMFI Monthly Note; not derivable from this source
2026-01,amfi_pdf,2026-07-03T12:55:15.415329+00:00,31002.0,16.36,20.2,9.92,,,,81.01,26.63,,74827.0,,new_sips_registered not stated in this month's note; sips_discontinued/stoppage_ratio not published in AMFI Monthly Note; not derivable from this source
2026-02,amfi_pdf,2026-07-03T12:55:18.725410+00:00,29845.0,16.64,20.3,9.44,65.72,,,82.03,27.06,25978.0,,8476.0,sips_discontinued/stoppage_ratio not published in AMFI Monthly Note; not derivable from this source
2026-03,amfi_pdf,2026-07-03T12:55:21.936940+00:00,32087.0,15.11,20.5,9.72,,,,73.73,27.39,40450.0,-294987.0,995.0,new_sips_registered not stated in this month's note; sips_discontinued/stoppage_ratio not published in AMFI Monthly Note; not derivable from this source
2026-04,amfi_pdf,2026-07-03T12:55:25.118067+00:00,31115.0,16.85,20.6,9.65,,,,81.92,27.53,38440.0,247490.0,,new_sips_registered not stated in this month's note; sips_discontinued/stoppage_ratio not published in AMFI Monthly Note; not derivable from this source
2026-05,amfi_pdf,2026-07-03T12:55:28.268775+00:00,30954.0,17.12,21.0,9.64,,,,81.58,27.65,22907.0,-96949.0,10560.0,new_sips_registered not stated in this month's note; sips_discontinued/stoppage_ratio not published in AMFI Monthly Note; not derivable from this source
